Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
1.4974800891000215,1.4777553780125017,1.337256195695188,1.539717581290013,1.4530223390787336,1.070173014318192,1.2359722830388946,1.371003962193609,1.2158263728803145,1.057972376641042,1.2963318129824597,2.4379049217831743
1.5973359885595677,1.496036779481143,1.3242409897597311,1.2806135386154158,1.495699793952325,2.161856643487756,1.1918879578749086,1.7645379194257542,1.4669032861422364,1.011888405012085,1.5011566749680143,2.28169311029564
2.07452236120191,1.5143181809497848,1.3112257838242745,1.2653140344751894,1.5293981987216416,1.349155252411972,1.1478036327109225,2.583434251518369,1.8365078103579628,1.0598143663146151,1.12187200812149,2.073750403948029
1.6790969657091976,1.5325995824184264,1.2982105778888178,1.2655045072501432,1.6633217204491184,1.2024100387792362,1.1037193075469365,1.38071064418465,1.4209735706197737,1.0899104838747378,1.6087950608421018,2.168516956717881
1.6420807250490566,1.550880983887068,1.285195371953361,1.5702077459344304,2.274484765019005,1.158981805998464,1.116921366600911,1.3693607705082824,1.6084835444309058,1.1373352058208452,1.2955426527454352,2.234808951514636
1.7537324819780258,1.5691623853557095,1.3099434624292874,1.8383189949283103,1.3848175986986333,2.033564271897707,1.1301234256548858,1.332903077505872,1.2497837026485912,1.1847599277669527,1.1787721670656195,2.4480581650266955
1.6736994172014596,1.5874437868243512,1.3038792563546877,1.6857361990801405,1.4012949447412564,1.7778971918268882,1.1433254847088603,1.3342881735175365,1.3659458776680475,1.1585624129065284,1.7317493614984665,2.361234674739714
1.604344298860458,1.582631369796199,1.2978150502800885,1.6396103704681853,1.4495499187714351,2.769684850234265,1.1565275437628348,1.3239926253101986,1.3456941055759968,1.132364898046104,1.8400525719412395,2.3239729374988927
1.886981778389464,1.5778189527680466,1.2917508442054886,1.614778337279985,1.4013993726740404,2.253133982930888,1.1920182942736806,1.532189539570081,2.51239052718994,1.273761546961564,1.1261414198313204,2.3773681605587003
2.109059821207097,1.5730065357398946,1.2856866381308891,2.824543630221125,1.480374364042126,2.189167307824353,1.2275090447845265,1.4760784619680865,1.968634000167408,1.2543710596198174,1.0974698546560877,2.3569875489926413
